StockCode,CurrentPrice,Elasticity,RecommendedPrice
10002,0.99,-3.3586,0.79
10002R,5.13,-1.0,5.133333333333333
10080,0.51,-2.4923,0.42
10109,0.42,-1.0,0.42
10120,0.24,-2.3059,0.21
10123C,0.78,-1.2965,0.94
10123G,0.82,-2.087,0.79
10124A,0.42,-1.0,0.42
10124G,0.46,-1.8032,0.51
10125,0.93,-2.3254,0.82
10133,0.75,-3.2136,0.6
10134,1.29,-4.1665,1.03
10135,1.42,-1.7282,1.68
10138,0.48,-1.9271,0.5
11001,1.88,-1.9525,1.93
15030,0.29,-1.0,0.29
15034,0.36,-1.2818,0.43
15036,0.99,-3.0068,0.79
15039,1.14,-2.2121,1.04
15044A,3.59,-0.7595,4.31
15044B,3.55,-1.3935,4.27
15044C,3.81,-1.0241,4.58
15044D,3.45,-2.356,2.99
15056BL,6.24,-3.3814,4.99
15056N,6.82,-1.5204,8.18
15056P,6.23,-1.6827,7.47
15056bl,12.57,-2.4781,10.54
15056n,12.56,-0.5,15.07
15056p,12.58,-0.5,15.1
15058A,8.55,-1.6756,10.26
15058B,9.68,-0.4014,11.62
15058C,9.67,-1.6407,11.6
15059A,10.5,-1.0,10.5
15060B,5.54,-0.2055,6.65
15060b,8.36,-0.0,10.03
16008,0.16,-2.3712,0.14
16010,0.12,-1.0,0.12
16011,0.21,-2.5845,0.17
16012,0.21,-0.5,0.25
16014,0.4,-14.9754,0.32
16015,0.49,-6.1385,0.39
16016,0.84,-10.0712,0.67
16020C,0.84,-55.3744,0.67
16033,0.12,-10.4341,0.09
16043,0.32,-2.363,0.28
16044,0.3,-1.0,0.3
16045,0.05,-1.6097,0.06
16046,0.94,-2.0934,0.9
16047,0.95,-2.3942,0.82
16048,0.4,-1.8498,0.44
16049,0.38,-1.8913,0.41
16050,0.4,-0.6456,0.48
16051,0.43,-1.0,0.4325
16052,0.58,-3.5341,0.46
16053,0.17,-2.1496,0.16
16054,0.17,-2.1933,0.16
16119,1.03,-1.0,1.0325
16151A,2.25,-1.0,2.25
16156L,0.42,-1.0,0.42
16156N,0.42,-1.0,0.42
16156S,0.42,-19.6152,0.33
16161C,0.1,-1.0,0.1
16161E,0.1,-1.0,0.1
16161G,0.1,-1.0,0.1
16161M,0.42,-0.5,0.5
16161P,0.42,-8.3429,0.34
16161U,0.42,-35.7555,0.33
16162L,0.75,-2.4586,0.63
16162M,0.42,-1.0,0.42
16168M,0.6,-2.3187,0.52
16168S,0.31,-2.7466,0.25
16169A,0.42,-1.0,0.42
16169C,0.42,-0.5,0.5
16169D,0.42,-1.0,0.42
16169E,0.42,-46.2768,0.34
16169F,0.42,-0.5,0.5
16169G,0.42,-1.0,0.42
16169K,0.36,-1.6714,0.44
16169M,0.35,-1.7696,0.41
16169N,0.35,-1.3303,0.42
16169P,0.36,-1.5167,0.43
16192,4.3,-1.0,4.3
16201A,3.77,-1.1921,4.53
16201B,2.84,-1.0,2.838
16202A,4.53,-0.8436,5.44
16202B,4.77,-1.3973,5.72
16202C,3.98,-1.2823,4.77
16202E,3.4,-0.3621,4.07
16206B,1.23,-31.5701,0.98
